"CasId","CodCadenaTv","Nombre","Logo","PuntoReproduccion","FormatoVideo"
"5249","MINDI","M+ Indie","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MINDI","http://mindie-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4502","DCESP","M+ Cine Español","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DCESP","http://espanol-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5333","MAXAVA","Max Avances","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MAXAVA","http://01max-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5271","SKYSHO","SkyShowtime 1","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/SKYSHO","http://01sky-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4603","TCM","TCM","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TCM","http://tcm-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5363","BBDRA","BBC Drama","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/BBDRA","http://dramabbc-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5369","BBGEA","BBC Top Gear","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/BBGEA","http://topgearbbc-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4586","PARCH","Paramount Network","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/PARCH","http://paramount-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4560","BEMAD","BE MAD","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/BEMAD","http://bemad-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4528","FOXGE","STAR Channel","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/FOXGE","http://01star-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4529","AXN","AXN","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/AXN","http://1axn-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4530","TNT","Warner TV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TNT","http://tvwarner-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4531","PCM","Comedy Central","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/PCM","http://comedycentral-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4532","CL13","Calle 13","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CL13","http://calle13-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4533","COSMO","COSMO","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/COSMO","http://cosmo-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4536","SCI-FI","SYFY","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/SCI-FI","http://syfy-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4535","SET","AXN Movies","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/SET","http://moviesaxn-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5094","13TV","TRECE","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/13TV","http://tdt13tv-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4540","ENERGY","Energy","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ENERGY","http://energy-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4537","FDFIC","Factoría de Ficción","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/FDFIC","http://fdf-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4538","NEOX","Neox","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/NEOX","http://neox-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4539","ATRESS","Atreseries","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ATRESS","http://a3series-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4882","MLIGA","M+ LALIGA TV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIGA","http://mlaliga-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5119","DAZNLI","DAZN LALIGA","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DAZNLI","http://01daznliga-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5124","MLIGS","LALIGA TV HYPERMOTION","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIGS","http://msegdiv-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4833","MLIG1","M+ LALIGA TV 2","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIG1","http://2liga-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5120","DAZNL2","DAZN LALIGA 2","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DAZNL2","http://02daznliga-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5127","MLIGS2","LALIGA TV HYPERMOTION 2","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIGS2","http://2segdiv-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4594","CHAPIO","M+ Liga de Campeones","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAPIO","http://mligacampeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4581","CHAP1","M+ Liga de Campeones 2","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP1","http://02campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4564","CHAP2","M+ Liga de Campeones  3","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP2","http://03campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4592","CPDEP","M+ Deportes","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CPDEP","http://mdeportes-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4585","ARTHUR","M+ Deportes 2","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ARTHUR","http://2multidep-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4556","USOP2","M+ Deportes 3","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/USOP2","http://3multidep-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5093","MELLAV","M+ Ellas V","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MELLAV","http://ellasv-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4584","GOLF+","M+ Golf","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/GOLF%2B","http://mgolf-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5196","GOLF2","M+ Golf 2","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/GOLF2","http://2golf-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4608","MVF1","DAZN F1","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MVF1","http://formula1-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4949","M1SD","DAZN 1","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/M1SD","http://01dazn-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4950","M2SD","DAZN 2","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/M2SD","http://02dazn-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4605","ESP","Eurosport 1","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ESP","http://eurosport1-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4580","ESP2","Eurosport 2","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ESP2","http://eurosport2-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4577","GOL","GOL PLAY","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/GOL","http://goltv-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4504","TDEP","Teledeporte","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TDEP","http://teledeporte-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5198","REALM","Real Madrid TV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/REALM","http://realmadrid-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4606","CAZPES","Caza y Pesca","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CAZPES","http://cazaypesca-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5273","GARAGE","El Garage TV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/GARAGE","http://garagetv-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4886","UBEAT","Ubeat","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/UBEAT","http://ubeat-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4604","NATGEO","National Geographic","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/NATGEO","http://geonat-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4610","NATGW","Nat Geo Wild","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/NATGW","http://wildnatgeo-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5366","BBHIS","BBC History","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/BBHIS","http://historybbc-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4545","DCR","Discovery","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DCR","http://discovery-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5244","DCRMAX","DMAX","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DCRMAX","http://dmax-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5360","BBFOO","BBC Food","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/BBFOO","http://foodbbc-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5246","DKISS","DKISS","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DKISS","http://dkiss-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4507","DIVINI","Divinity","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DIVINI","http://divinity-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4601","NOVA","Nova","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/NOVA","http://nova-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4558","MEGA","Mega","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MEGA","http://mega-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5253","TEN","Ten","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TEN","http://tvten-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4508","BABY","Baby TV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/BABY","http://babytv-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4509","PLAYDC","Disney Junior","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/PLAYDC","http://jrdisney-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4511","NICKJR","NICK JR","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/NICKJR","http://jrnick-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4512","NICK","Nickelodeon","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/NICK","http://nickelodeon-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4965","DWSP","Dreamworks","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DWSP","http://dreamworks-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4563","BOING","Boing","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/BOING","http://boing-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4611","CLANTV","Clan TVE","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CLANTV","http://clan-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4499","MTV","MTV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MTV","http://espanamtv-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4567","VH1","MTV 00s","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/VH1","http://00smtv-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4571","MEZZO","Mezzo","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MEZZO","http://sdmezzo-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4891","MEZZLI","Mezzo Live","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MEZZLI","http://livehdmezzo-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
